"last_name, first_name","player_id","year","pa","k_percent","bb_percent","woba","xwoba","sweet_spot_percent","barrel_batted_rate","hard_hit_percent","avg_best_speed","avg_hyper_speed","whiff_percent","swing_percent"
"Miley, Wade",489119,2017,728,19.5,12.8,".362",".359",33.9,6.3,35.8,"75.828732905","93.77031341",21.9,41
"Garza, Matt",490063,2017,504,15.7,8.9,".336",".328",33,4.7,31.7,"75.53747235","92.957984658",18.3,48.1
"Ramírez, JC",500724,2017,620,16.9,7.9,".327",".341",28,6.5,34.6,"76.325091858","93.467056416",20.5,45.7
"Quintana, Jose",500779,2017,790,26.2,7.7,".301",".309",36.3,5.9,35.5,"76.595901344","93.267433228",21.4,43.9
"Archer, Chris",502042,2017,852,29.2,7,".306",".296",34.8,5.9,40.2,"79.336618302","94.061407524",30.3,47.9
"Gibson, Kyle",502043,2017,693,17.5,8.7,".355",".354",33.6,6.9,37.9,"77.309684701","93.977377166",23.6,46
"Cobb, Alex",502171,2017,742,17.3,5.9,".304",".324",31.6,6,35.1,"77.452471536","93.570908318",16.9,44.3
"Samardzija, Jeff",502188,2017,847,24.2,3.8,".309",".301",36.1,6.3,33.8,"76.297457625","93.23230199",22.5,49.1
"Leake, Mike",502190,2017,782,16.6,4.7,".316",".319",30.9,5.1,36.4,"75.993789829","93.662660188",18.5,48.4
"Anderson, Chase",502624,2017,569,23.4,7.2,".281",".275",31.7,4.4,26,"74.810135873","92.219573156",24.4,46.9
"Holland, Derek",502706,2017,626,16.6,12,".388",".383",37.9,8.2,39.5,"77.431320642","94.022564736",18.9,41.2
"Peacock, Brad",502748,2017,546,29.5,10.4,".274",".268",31.1,5.2,28.3,"74.734453813","92.30228",30.2,43.3
"Darvish, Yu",506433,2017,766,27.3,7.6,".296",".295",35.7,6.3,31.4,"74.59683219","92.93961155",28,47
"Duffy, Danny",518633,2017,609,21.3,6.7,".306",".309",32,5.5,31.1,"76.104195896","92.97968539",24.7,50.5
"Moore, Matt",519043,2017,790,18.7,8.5,".354",".361",36.4,9,40.3,"79.060694549","94.293487491",19.8,48
"Nelson, Jimmy",519076,2017,728,27.3,6.6,".301",".285",32,4,31.4,"73.969938326","92.957324581",25.5,48.7
"Pomeranz, Drew",519141,2017,739,23.5,9.2,".310",".317",32.5,6.7,35.7,"76.800647833","93.572409186",24.2,44.6
"Porcello, Rick",519144,2017,885,20.5,5.4,".348",".337",36.5,8,35.7,"77.299764006","93.661091431",21.1,49.6
"Sale, Chris",519242,2017,851,36.2,5.1,".260",".252",35.8,6.1,30.5,"75.977415802","92.794633025",31.8,50.1
"Zimmermann, Jordan",519455,2017,713,14.4,6.2,".372",".362",37.4,7.7,35.4,"79.736894036","93.562504564",17.9,49.3
"Pérez, Martín",527048,2017,811,14.2,7.8,".349",".356",35.7,5.4,32.4,"76.054533323","93.105965654",17.9,44.9
"Teheran, Julio",527054,2017,812,18.6,8.9,".330",".324",30.6,6.4,30.5,"76.701951696","92.903528463",21.6,47
"Adleman, Tim",534947,2017,531,20.3,9.6,".365",".337",35,7.9,32.7,"76.968297809","93.238116761",24.6,47.2
"Ramírez, Erasmo",541640,2017,539,20.2,5.8,".308",".324",33,7.6,35.8,"77.560782051","93.826673462",22.2,49.1
"Chatwood, Tyler",543022,2017,631,19,12.2,".338",".329",31.2,5.6,32.1,"74.164853905","93.296800048",24.4,43.9
"Cole, Gerrit",543037,2017,849,23.1,6.5,".315",".317",34,7.6,34.4,"74.046742743","93.325617774",21.9,46.5
"Gray, Sonny",543243,2017,678,22.6,8.4,".290",".310",29.5,6.2,38.6,"75.107633231","93.97063919",27.3,46.6
"Hendricks, Kyle",543294,2017,570,21.6,7,".291",".303",32.6,4.4,29.3,"72.804727665","92.625822468",21.1,42.8
"Montgomery, Mike",543557,2017,540,18.5,10.2,".280",".300",30.5,3.2,28.5,"74.879156054","92.587995745",20.5,43.7
"Odorizzi, Jake",543606,2017,603,21.1,10.1,".313",".326",35.4,8.2,35.7,"77.356116798","93.299093621",25.2,48
"Roark, Tanner",543699,2017,776,21.4,8.2,".313",".314",34.8,5.4,33.1,"76.004916579","92.951654049",23.5,46.1
"Strasburg, Stephen",544931,2017,701,29.1,6.7,".252",".263",28.2,6.1,32,"76.544349151","93.078753853",27.8,49.7
"Bauer, Trevor",545333,2017,749,26.2,8,".332",".320",36.1,7.8,39.2,"79.320654855","93.93590112",23.9,42.2
"Tanaka, Masahiro",547888,2017,751,25.8,5.5,".326",".315",34.6,8.6,36.2,"76.975184325","93.577293373",31.2,51.2
