"last_name, first_name","player_id","year","home_run","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","b_rbi","b_total_bases","woba"
"Duda, Lucas",446263,2016,7,20.9,8.7,".229",".412",".302","0.714","23","63",".304"
"Wieters, Matt",446308,2016,17,18.3,6.9,".243",".409",".302","0.711","66","173",".307"
"Longoria, Evan",446334,2016,36,21,6.1,".273",".521",".318","0.839","98","330",".350"
"Cozart, Zack",446359,2016,16,16.5,7.3,".252",".425",".308","0.733","50","197",".312"
"Barney, Darwin",446381,2016,4,15.7,7.2,".269",".373",".322","0.695","19","104",".303"
"Guyer, Brandon",446386,2016,9,15.9,5.5,".266",".423",".372","0.795","32","124",".351"
"Rodríguez, Sean",446481,2016,18,29.8,9.6,".270",".510",".349","0.859","56","153",".363"
"Lobatón, Jose",446653,2016,3,15.8,10.5,".232",".374",".319","0.693","8","37",".301"
"Hill, Rich",448179,2016,0,66.7,0,".000",".000",".000","0.000","0","0",".000"
"Shields, James",448306,2016,0,52.2,0,".190",".190",".190","0.380","0","4",".167"
"Reynolds, Mark",448602,2016,14,25.4,9.5,".282",".450",".356","0.806","53","177",".349"
"Ruggiano, Justin",448605,2016,2,38.5,7.7,".333",".625",".385","1.010","7","15",".425"
"Davis, Chris",448801,2016,38,32.9,13.2,".221",".459",".332","0.791","84","260",".340"
"García, Jaime",448802,2016,0,33.3,3.9,".171",".171",".205","0.376","4","7",".171"
"Guerra, Junior",448855,2016,0,30.2,0,".229",".286",".229","0.515","0","10",".222"
"Aviles, Mike",449107,2016,1,14.9,5,".210",".269",".258","0.527","6","45",".236"
"Orlando, Paulo",449181,2016,5,21.7,2.7,".302",".405",".329","0.734","43","185",".317"
"Zobrist, Ben",450314,2016,18,13,15.2,".272",".446",".386","0.832","76","233",".360"
"Fowler, Dexter",451594,2016,13,22.5,14.3,".276",".447",".393","0.840","48","204",".367"
"Rosario, Alberto",451705,2016,0,12.2,4.9,".184",".237",".225","0.462","2","9",".206"
"Flowers, Tyler",452095,2016,8,28,8.9,".270",".420",".357","0.777","41","118",".338"
"Headley, Chase",452104,2016,14,22.3,9.6,".253",".385",".331","0.716","51","180",".312"
"Drew, Stephen",452220,2016,8,18.8,9.7,".266",".524",".339","0.863","21","75",".362"
"Smith, Seth",452234,2016,16,20.3,11,".249",".415",".342","0.757","63","157",".331"
"Lind, Adam",452252,2016,20,20.7,6,".239",".431",".286","0.717","58","173",".304"
"Pence, Hunter",452254,2016,13,21.5,9.7,".289",".451",".357","0.808","57","178",".349"
"Span, Denard",452655,2016,11,12.4,8.3,".266",".381",".331","0.712","53","218",".312"
"Lester, Jon",452657,2016,0,24,8,".102",".153",".185","0.338","6","9",".162"
